Action Bias,Observation Noise,Action Noise,Num Ghosts,Time Step,Guessed Cell,Probability of Guess,Guessed heading,Location Correct,Heading Correct
0.0,0.0,0.0,0,82,"(2, 5)",0.0,Headings.W,False,False
0.0,0.0,0.0,0,83,"(2, 5)",1.0,Headings.W,True,False
0.0,0.0,0.0,0,84,"(2, 5)",0.0,Headings.W,False,False
0.0,0.0,0.0,0,85,"(2, 5)",0.0,Headings.W,False,True
0.0,0.0,0.0,0,86,"(2, 5)",0.0,Headings.W,False,True
0.0,0.0,0.0,0,87,"(2, 5)",1.0,Headings.W,True,True
0.0,0.0,0.0,0,88,"(2, 5)",0.0,Headings.W,False,False
0.0,0.0,0.0,0,89,"(2, 5)",0.0,Headings.W,False,False
0.0,0.0,0.0,0,90,"(2, 5)",0.0,Headings.W,False,False
0.0,0.0,0.0,0,91,"(2, 5)",0.0,Headings.W,False,False
0.0,0.0,0.0,0,92,"(2, 5)",0.0,Headings.W,False,False
0.0,0.0,0.0,0,93,"(2, 5)",0.0,Headings.W,False,False
0.0,0.0,0.0,0,94,"(2, 5)",0.0,Headings.W,False,False
0.0,0.0,0.0,0,95,"(2, 5)",0.0,Headings.W,False,False
0.0,0.0,0.0,0,96,"(2, 5)",0.0,Headings.W,False,False
0.0,0.0,0.0,0,97,"(2, 5)",1.0,Headings.W,True,False
0.0,0.0,0.0,0,98,"(2, 5)",0.0,Headings.W,False,False
0.0,0.0,0.0,0,99,"(2, 5)",0.0,Headings.W,False,True
Action Bias,Observation Noise,Action Noise,Num Ghosts,Time Step,Guessed Cell,Probability of Guess,Guessed heading,Location Correct,Heading Correct
0.0,0.0,0.0,2,0,"(3, 1)",1.0,Headings.N,True,False
0.0,0.0,0.0,2,1,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,2,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,3,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,4,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,5,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,6,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,7,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,8,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,9,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,10,"(3, 1)",1.0,Headings.N,True,False
0.0,0.0,0.0,2,11,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,12,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,13,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,14,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,15,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,16,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,17,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,18,"(3, 1)",0.0,Headings.N,False,True
0.0,0.0,0.0,2,19,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,20,"(3, 1)",1.0,Headings.N,True,False
0.0,0.0,0.0,2,21,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,22,"(3, 1)",1.0,Headings.N,True,False
0.0,0.0,0.0,2,23,"(3, 1)",0.0,Headings.N,False,False
0.0,0.0,0.0,2,24,"(3, 1)",0.0,Headings.N,False,False
